# Priors: uniform; runs: 100000; steps: 1000
# Which arm is restricted: randomize
# q: 0.6
index,comp_succ,comp_inc,diss_succ,diss_inc,cond_succ,cond_inc,hybrid_succ,hybrid_inc
292,5,5,1,46,22,4,3,24
293,9,1,1,1,7,1,3,3
294,1,1,1,3,9,1,23,1
295,1,1,69,1,7,1,1,1
296,14,1,28,1,1,3,1,75
297,1,1,1,13,6,12,3,1
298,1,3,1,1,5,1,8,6
299,1,1,26,31,34,1,1,1
300,1,1,1,17,47,4,37,3
301,3,1,4,3,13,1,3,11
302,1,1,1,9,5,1,1,10
303,1,1,1,1,3,9,1,7
304,1,1,1,1,19,4,1,373
305,1,11,1,1,29,4,1,4
306,3,1,3,3,6,1,1,7
307,15,3,1,57,16,1,20,1
308,1,5,142,1,9,5,1,6
309,1,4,1,1,1,3,1,28
310,5,1,4,1,4,3,1,9
311,1,1,5,1,1,1,1,1
312,6,1,1,1,4,1,6,28
313,1,1,9,1,13,3,27,23
314,1,1,6,1,1,30,6,1
315,1,4,79,1,232,3,8,3
316,1,1,60,3,25,1,5,11
317,6,1,1,4,1,1,1,4
318,3,1,4,36,1,7,1,38
319,3,1,16,1,14,6,5,1
320,3,1,1,1,12,1,78,4
321,1,1,16,1,3,1,3,17
322,45,3,1,4,26,1,1,1
323,6,1,131,1,4,1,7,1
324,1,1,8,1,10,1,23,1
325,19,1,22,1,1,1,3,10
326,1,1,17,13,62,1,4,10
327,1,1,26,1,6,1,1,1
328,12,1,12,1,5,106,13,5
329,1,1,1,6,1,1,1,10
330,7,4,1,1,7,1,16,1
331,1,3,1,63,1,1,4,1
332,6,1,1,1,43,235,4,6
333,10,3,15,1,1,1,63,5
334,1,1,7,1,1,1,1,1
335,1,1,1,1,1,4,61,1
336,4,1,1,1,3,1,6,10
337,4,1,4,1,1,1,11,1
338,1,1,1,17,1,1,1,4
339,1,1,29,1,4,1,4,1
340,4,1,7,1,113,25,3,1
341,1,1,28,1,1,3,12,1
342,1,1,1,1,21,3,22,1
343,1,1,3,1,1,11,5,1
344,205,3,3,1,28,1,1,9
345,1,3,9,1,16,1,116,87
346,31,1,24,11,43,95,3,1
347,1,9,7,1,5,1,16,369
348,1,4,36,1,1,1,1,6
349,1,1,6,1,1,1,16,5
350,1,1,12,1,30,1,33,5
351,9,1,65,3,10,4,1,5
352,53,1,1,27,30,1,1,1
353,9,1,1,12,6,3,1,4
354,1,8,14,43,1,1,7,122
355,3,1,1,4,1,1,4,1
356,3,1,1,1,1,1,1,23
357,7,10,601,1,3,1,1,1
358,1,1,67,7,1,20,1,1
359,1,1,15,1,7,1,5,1
360,1,1,1,1,4,1,3,30
361,1,1,7,27,1,1,7,5
362,1,1,1,1,47,6,1,1
