# Number of cores: 4
# Priors: uniform; runs: 100000; steps: 1000
num_agents,p0,p1,1_res_success,2_res_success,3_res_success,4_res_success,5_res_success,6_res_success,7_res_success,1_res_consensus,2_res_consensus,3_res_consensus,4_res_consensus,5_res_consensus,6_res_consensus,7_res_consensus,1_res_time,2_res_time,3_res_time,4_res_time,5_res_time,6_res_time,7_res_time,1_res_succ_time,2_res_succ_time,3_res_succ_time,4_res_succ_time,5_res_succ_time,6_res_succ_time,7_res_succ_time,1_res_incorrect_time,2_res_incorrect_time,3_res_incorrect_time,4_res_incorrect_time,5_res_incorrect_time,6_res_incorrect_time,7_res_incorrect_time
9,0.5,0.6600000000000001,98996,98201,96799,94127,88585,77075,52617,6300,5758,7106,9822,15748,27664,51253,870180,1007382,1156734,1371848,1526163,1736050,1895107,863276,992633,1124098,1300060,1365258,1320578,950028,6904,14749,32636,71788,160905,415472,945079
9,0.5,0.6650000000000001,99054,98423,97106,94430,88884,77903,53684,6587,6072,7157,9871,15896,27531,51317,817075,941326,1104589,1297266,1478013,1706609,1830355,811291,928825,1080667,1230996,1326847,1339427,951068,5784,12501,23922,66270,151166,367182,879287
9,0.5,0.6700000000000002,99141,98472,97383,94750,89813,78834,54923,6819,6319,7135,10246,16248,27718,51338,752122,895224,1032943,1235066,1432227,1650537,1773309,745517,884521,1014583,1179298,1313334,1286927,962787,6605,10703,18360,55768,118893,363610,810522
9,0.5,0.6750000000000002,99250,98694,97684,95271,90366,79977,55544,6956,6558,7471,10243,16112,27766,51259,720074,847566,1001349,1197716,1347187,1592426,1739963,715678,841628,982449,1144153,1226247,1258301,942242,4396,5938,18900,53563,120940,334125,797721
9,0.5,0.6800000000000002,99324,98810,97866,95707,91139,80750,56677,7278,6816,7741,10532,16279,27753,51083,674342,815200,967486,1177456,1346736,1554534,1717410,670612,806861,953346,1130393,1235873,1247763,949263,3730,8339,14140,47063,110863,306771,768147
9,0.5,0.6850000000000002,99346,98937,98073,96107,91652,81541,57728,7656,6878,7931,10698,16514,27852,51316,636429,764137,894146,1123466,1323409,1531406,1698547,633646,758659,883685,1078788,1217791,1259691,945699,2783,5478,10461,44678,105618,271715,752848
9,0.5,0.6900000000000002,99400,99121,98223,96304,92188,82310,58835,7866,7299,8352,11221,16835,28425,50717,610257,701827,865390,1031852,1294422,1509549,1695857,607999,698626,855843,998860,1197969,1229827,951731,2258,3201,9547,32992,96453,279722,744126
9,0.5,0.6950000000000002,99508,99125,98283,96633,92818,83051,59637,8253,7705,8805,11530,16921,28324,51112,565389,675111,832735,1004584,1192233,1445553,1595162,562635,667489,824373,976602,1123604,1191622,928743,2754,7622,8362,27982,68629,253931,666419
9,0.5,0.7000000000000002,99497,99231,98473,96798,93094,83699,60508,8651,7913,9035,11700,17426,28813,51312,534287,656829,810250,973252,1189026,1420715,1624563,533129,653274,799321,944949,1108735,1186905,949613,1158,3555,10929,28303,80291,233810,674950
9,0.5,0.7050000000000002,99569,99311,98630,97144,93465,84545,61483,8793,8329,9308,12021,17848,28628,51328,522311,619591,755174,926420,1158340,1377783,1631926,521285,615883,747079,900446,1090602,1170140,970529,1026,3708,8095,25974,67738,207643,661397
9,0.5,0.7100000000000002,99575,99291,98726,97324,93820,85299,62376,9228,8407,9626,12499,18244,28919,51184,488721,588087,739648,924871,1164955,1354164,1570170,487538,584981,733922,907824,1110659,1163997,939307,1183,3106,5726,17047,54296,190167,630863
9,0.5,0.7150000000000002,99629,99397,98817,97445,94208,85881,63397,9542,8863,10006,12972,18251,29101,51147,455125,561067,681340,900433,1074345,1316268,1559644,453770,558500,674548,882684,1027375,1127597,975305,1355,2567,6792,17749,46970,188671,584339
9,0.5,0.7200000000000002,99684,99397,98982,97715,94553,86530,64316,9892,9339,10376,13027,18662,29325,51124,447145,548767,684832,841713,1070921,1295019,1469664,446290,546330,681293,826463,1018784,1113123,935309,855,2437,3539,15250,52137,181896,534355
9,0.5,0.7250000000000002,99677,99491,98999,97869,95056,87431,64923,10247,9654,10961,13579,19161,29538,50978,417677,513811,622556,826765,1029201,1244014,1525467,416883,512112,618177,812776,981616,1098961,965936,794,1699,4379,13989,47585,145053,559531
9,0.5,0.7300000000000002,99726,99535,99096,98059,95119,87743,66066,10651,9897,11302,14134,19394,29683,51030,410561,480988,629480,777083,976992,1269159,1533522,410177,479801,626069,766437,946645,1117266,992668,384,1187,3411,10646,30347,151893,540854
9,0.5,0.7350000000000002,99712,99561,99122,98241,95645,88590,66767,10879,10525,11716,14465,19738,30121,51309,360005,477836,586782,732461,960303,1209613,1454063,359480,476893,582328,721702,926498,1062109,943215,525,943,4454,10759,33805,147504,510848
9,0.5,0.7400000000000002,99748,99591,99186,98375,95877,88923,67640,11436,10929,12046,14854,20043,30328,51119,353686,446045,558566,705345,893058,1197035,1448145,353088,444339,555919,695761,862857,1072550,952537,598,1706,2647,9584,30201,124485,495608
9,0.5,0.7450000000000002,99795,99608,99274,98439,96168,89395,68641,11856,11078,12556,15370,20778,30598,51114,332128,417524,538287,709506,919975,1131315,1393444,331799,416340,535685,699475,892937,1019055,932811,329,1184,2602,10031,27038,112260,460633
9,0.5,0.7550000000000002,99774,99672,99374,98752,96663,90600,70270,12659,12207,13537,16323,21664,31387,51207,308018,415999,496304,655435,837160,1095690,1382363,307467,415411,495376,648843,815174,993852,944416,551,588,928,6592,21986,101838,437947
9,0.5,0.7500000000000002,99767,99616,99339,98616,96530,90124,69128,12010,11944,13301,16019,21127,30841,51394,329331,408251,526142,673323,899008,1149355,1405770,328475,407486,525039,666431,869583,1039786,925891,856,765,1103,6892,29425,109569,479879
